"","klasifikasi","text","score"
"746","Positif","work from home and earn daily weekly amp monthly make more than weekly from home no hidde ",1
"747","Positif","this sure is the long way home from work",1
"748","Positif","starting from july ish last year i made it a habit to work out at home gyms have been closed it just s ",1
"749","Positif","i watched the video on the train back home from work and yeah i was a bit like   is that it    ",2
"750","Positif","check this using simply just this process we were happy to get out of each of our permenant job and simply work fr ",2
"751","Positif","today i learned that i can listen to the glee cover of all that jazz exactly times on repeat on my walk home from work",2
"752","Positif","and companies need to let people who can work from home work from home",2
"753","Positif","man being in a healthy loving relationship is wild like i m excited for my man to get home from work to tell him ",4
"754","Positif"," nurses and doctors  can t work from home teachers have that option i don t see anyone else complaining a ",0
"755","Positif","equipping employees to work from home has enabled organizations across the country to maintain operations througho ",1
"756","Positif","years of eating pret for lunch now due to covid i can work from home and never have to walk into on ",1
"757","Positif","again aps is much different from education i don  ",0
"758","Positif","well guys i forgot there was maintenance tonight and by the time i get home from work i would only be able to do li ",2
"759","Positif","i hope tomorrow we have an office worker who has decided to work from home in their second home in the south of spain ",1
"760","Negatif","has the kihno bearing dhl driver arrived yet    the suspense is killing me   i got the notif they arrived i m abou ",-1
"761","Negatif","do you struggle with allocating chores in your home find out how one mom went from the typical sticker chart to a method that ",-1
"762","Positif","flowing out from your every pore and texted jimin   i have news you sent and waited for him to answer   what kind ",0
"763","Positif","i m still bothered by the time my friend s roommate came home from work and said he needs the tv because a new fantano video dropped",0
"764","Positif","work from home    ",1
"765","Positif","this is being pushed back to est because aster needs time to get home from work",1
"766","Positif","seems most people arguing masks work pro lockdowns closed schools are elite professionals who have been happily wor ",3
"767","Positif","yes not zoom but the platform we use for work x and no i haven t found a good solution fro ",2
"768","Positif","when you re working from home it can be tough to find purpose in your role   try these tips to gain meaning from ",2
"769","Positif","im omw home from work yall better not be up to mischief gt",1
"770","Positif","i like when i get to work from home so i can make casual blueberry muffins in the middle of the day",2
"771","Positif","planning for the new year natural gas is an affordable way to heat your home and water we work with energy trust ",3
"772","Positif","finally home and relaxing went to the store after work bc i forgot some stuff from friday then went back to the of ",1
"773","Positif","they would never let folks work from home either for a completely web based company the only thing that pleases ",2
